epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1993,1.89766,3.15107,1.48679,0.51477,0.30321,0.24474,0.12572,1.63129,2.2553,1.31285,0.000221662,0.000221662,0.000221662
2,191.764,1.66938,2.12382,1.38466,0.67047,0.39768,0.42791,0.23099,1.54375,1.6116,1.32162,0.000439599,0.000439599,0.000439599
3,284.032,1.62369,1.86132,1.37289,0.68468,0.42458,0.45886,0.23686,1.57059,1.50414,1.32321,0.000653135,0.000653135,0.000653135
4,375.759,1.59554,1.72712,1.36543,0.74277,0.47707,0.54612,0.30764,1.45304,1.41394,1.28501,0.00064719,0.00064719,0.00064719
5,467.707,1.55272,1.60235,1.34638,0.75943,0.5116,0.60343,0.34298,1.45444,1.30742,1.29119,0.000640587,0.000640587,0.000640587
6,559.68,1.53006,1.51055,1.33213,0.7606,0.5811,0.67901,0.37668,1.43786,1.25804,1.27169,0.000633983,0.000633983,0.000633983
7,651.499,1.51344,1.45955,1.31404,0.79059,0.56011,0.67037,0.38754,1.41599,1.19026,1.2648,0.00062738,0.00062738,0.00062738
8,743.37,1.48545,1.37287,1.2927,0.75423,0.61033,0.70145,0.42068,1.38467,1.14452,1.24458,0.000620777,0.000620777,0.000620777
9,835.279,1.47873,1.35929,1.29027,0.82961,0.6264,0.72516,0.42779,1.41263,1.13098,1.25211,0.000614174,0.000614174,0.000614174
10,926.97,1.45261,1.3085,1.28244,0.77123,0.65732,0.72136,0.41474,1.4094,1.10099,1.24064,0.00060757,0.00060757,0.00060757
11,1018.93,1.44343,1.28137,1.27763,0.7993,0.65395,0.71157,0.42154,1.38573,1.08609,1.22872,0.000600967,0.000600967,0.000600967
12,1110.44,1.43613,1.26161,1.27097,0.81166,0.66132,0.7284,0.40173,1.48741,1.13804,1.29088,0.000594364,0.000594364,0.000594364
13,1201.96,1.42924,1.22568,1.2653,0.8189,0.64891,0.73206,0.42288,1.37357,1.04823,1.23256,0.00058776,0.00058776,0.00058776
14,1293.55,1.42022,1.22061,1.2573,0.81282,0.66846,0.75099,0.44123,1.38672,1.0426,1.23325,0.000581157,0.000581157,0.000581157
15,1385.12,1.41039,1.17865,1.25109,0.77399,0.67561,0.74615,0.43745,1.35434,1.03151,1.22859,0.000574554,0.000574554,0.000574554
16,1476.98,1.40436,1.17245,1.25007,0.82974,0.65798,0.75366,0.44946,1.36839,1.01834,1.23682,0.00056795,0.00056795,0.00056795
17,1568.28,1.38999,1.13873,1.23958,0.80972,0.68177,0.77218,0.46222,1.36572,0.98504,1.22268,0.000561347,0.000561347,0.000561347
18,1659.41,1.38954,1.13026,1.23853,0.76544,0.68329,0.75491,0.45512,1.36426,1.01175,1.23785,0.000554744,0.000554744,0.000554744
19,1750.64,1.37206,1.11134,1.22956,0.82242,0.69093,0.76204,0.44947,1.36983,0.9789,1.22312,0.000548141,0.000548141,0.000548141
20,1842.08,1.36636,1.0937,1.22407,0.76713,0.72018,0.77731,0.4638,1.35573,0.96511,1.22348,0.000541537,0.000541537,0.000541537
21,1933.19,1.36415,1.07122,1.22481,0.86022,0.684,0.776,0.45004,1.36149,0.9809,1.21379,0.000534934,0.000534934,0.000534934
22,2024.18,1.34266,1.06533,1.21143,0.81655,0.70353,0.77196,0.45831,1.33188,0.96878,1.21569,0.000528331,0.000528331,0.000528331
23,2114.96,1.35006,1.05534,1.22004,0.86282,0.699,0.78197,0.46183,1.36642,0.93781,1.23296,0.000521727,0.000521727,0.000521727
24,2206.62,1.34596,1.04554,1.21671,0.85155,0.69294,0.77597,0.46239,1.36421,0.96246,1.22831,0.000515124,0.000515124,0.000515124
25,2298.98,1.33623,1.03751,1.21219,0.82171,0.72075,0.79324,0.47055,1.34652,0.91938,1.2144,0.000508521,0.000508521,0.000508521
26,2389.6,1.3367,1.0304,1.21268,0.84376,0.7314,0.79182,0.47398,1.32053,0.92404,1.21055,0.000501917,0.000501917,0.000501917
27,2480.35,1.3254,1.00747,1.20224,0.82442,0.73455,0.7876,0.45439,1.39745,0.94153,1.23253,0.000495314,0.000495314,0.000495314
28,2571.33,1.31449,0.9931,1.20007,0.85401,0.72765,0.80619,0.4786,1.34648,0.92634,1.2174,0.000488711,0.000488711,0.000488711
29,2662.03,1.31259,0.98203,1.19235,0.83578,0.74262,0.79973,0.48381,1.31506,0.88775,1.20626,0.000482108,0.000482108,0.000482108
30,2752.98,1.30828,0.98075,1.19404,0.79129,0.74152,0.79675,0.46522,1.37139,0.91533,1.22302,0.000475504,0.000475504,0.000475504
31,2844.89,1.30644,0.97988,1.19172,0.86987,0.74464,0.81139,0.48287,1.3169,0.87235,1.20211,0.000468901,0.000468901,0.000468901
32,2937.05,1.28558,0.94673,1.18185,0.81929,0.75236,0.79774,0.48341,1.31782,0.89267,1.21547,0.000462298,0.000462298,0.000462298
33,3028.12,1.28747,0.94867,1.1778,0.84709,0.7427,0.80714,0.49411,1.3164,0.86227,1.19993,0.000455694,0.000455694,0.000455694
34,3119.26,1.27613,0.93085,1.17612,0.83154,0.74115,0.79628,0.48225,1.30589,0.86475,1.20064,0.000449091,0.000449091,0.000449091
35,3210.34,1.27492,0.92909,1.17068,0.86956,0.72634,0.79845,0.48276,1.33702,0.86729,1.22137,0.000442488,0.000442488,0.000442488
36,3301.25,1.27303,0.92992,1.17316,0.83176,0.73548,0.79577,0.47382,1.34216,0.87263,1.21136,0.000435884,0.000435884,0.000435884
37,3392.54,1.26829,0.91629,1.16392,0.85398,0.72089,0.7949,0.48229,1.31007,0.84997,1.19774,0.000429281,0.000429281,0.000429281
38,3483.56,1.26325,0.90745,1.16568,0.85254,0.76591,0.81748,0.50003,1.30157,0.83966,1.19486,0.000422678,0.000422678,0.000422678
39,3574.47,1.25447,0.89625,1.15934,0.83604,0.74532,0.79679,0.47263,1.36151,0.87378,1.20702,0.000416075,0.000416075,0.000416075
40,3665.23,1.2546,0.89465,1.1621,0.84975,0.76733,0.8121,0.49633,1.31525,0.84354,1.20199,0.000409471,0.000409471,0.000409471
41,3756.18,1.24811,0.89155,1.15702,0.86322,0.73796,0.8054,0.47932,1.37435,0.86717,1.22629,0.000402868,0.000402868,0.000402868
42,3848.21,1.24799,0.88188,1.15828,0.86267,0.74393,0.79766,0.47819,1.32512,0.84427,1.20623,0.000396265,0.000396265,0.000396265
43,3940.97,1.2378,0.86631,1.15281,0.85901,0.7613,0.81473,0.49473,1.31316,0.81956,1.19727,0.000389661,0.000389661,0.000389661
44,4032.97,1.23869,0.87391,1.15082,0.87206,0.74703,0.81117,0.49269,1.30083,0.83794,1.19029,0.000383058,0.000383058,0.000383058
45,4125.29,1.23212,0.86385,1.15113,0.84468,0.74943,0.79565,0.48889,1.32527,0.84158,1.20603,0.000376455,0.000376455,0.000376455
46,4216.28,1.23072,0.8614,1.14605,0.84851,0.76712,0.81526,0.49925,1.30027,0.81499,1.19294,0.000369851,0.000369851,0.000369851
47,4307.08,1.21903,0.85021,1.14111,0.80702,0.78835,0.80689,0.49647,1.32871,0.8345,1.20634,0.000363248,0.000363248,0.000363248
48,4398.08,1.21116,0.83661,1.13525,0.83991,0.7808,0.8182,0.50762,1.31021,0.81932,1.19449,0.000356645,0.000356645,0.000356645
49,4488.72,1.21564,0.84391,1.13711,0.87484,0.74757,0.81497,0.51056,1.31335,0.81968,1.1966,0.000350042,0.000350042,0.000350042
50,4579.69,1.20815,0.82595,1.13825,0.83651,0.76383,0.80952,0.50794,1.30878,0.82616,1.20406,0.000343438,0.000343438,0.000343438
51,4670.97,1.20055,0.81912,1.12954,0.85435,0.76359,0.809,0.49435,1.30245,0.81115,1.19466,0.000336835,0.000336835,0.000336835
52,4762.03,1.20206,0.81766,1.12689,0.82716,0.76905,0.80865,0.49996,1.29157,0.82093,1.18952,0.000330232,0.000330232,0.000330232
53,4852.63,1.19386,0.81778,1.12605,0.85429,0.75792,0.81082,0.50329,1.29742,0.80183,1.19752,0.000323628,0.000323628,0.000323628
54,4943.53,1.20131,0.81599,1.1262,0.86561,0.77503,0.81775,0.50699,1.28934,0.79933,1.1922,0.000317025,0.000317025,0.000317025
55,5034.63,1.18619,0.80723,1.1231,0.87426,0.75064,0.81239,0.50107,1.30881,0.80739,1.20106,0.000310422,0.000310422,0.000310422
56,5125.29,1.18051,0.7957,1.11618,0.8767,0.75352,0.81405,0.50383,1.3148,0.80379,1.19361,0.000303818,0.000303818,0.000303818
57,5216.07,1.1783,0.79479,1.11574,0.87402,0.76865,0.82211,0.50908,1.31506,0.8002,1.20217,0.000297215,0.000297215,0.000297215
58,5306.58,1.17717,0.79855,1.11814,0.81407,0.79339,0.82416,0.50675,1.29329,0.79364,1.19024,0.000290612,0.000290612,0.000290612
59,5397.33,1.16955,0.78395,1.11327,0.86906,0.76856,0.81892,0.50639,1.30265,0.79337,1.19544,0.000284009,0.000284009,0.000284009
60,5488.1,1.17106,0.78965,1.11069,0.8688,0.74848,0.81751,0.50153,1.31261,0.79482,1.19888,0.000277405,0.000277405,0.000277405
61,5578.83,1.16563,0.77985,1.11086,0.85554,0.76189,0.81195,0.50539,1.29301,0.80229,1.19091,0.000270802,0.000270802,0.000270802
62,5669.91,1.15676,0.77389,1.10502,0.85768,0.76303,0.81734,0.51071,1.30014,0.79209,1.19202,0.000264199,0.000264199,0.000264199
63,5760.82,1.16134,0.77367,1.10716,0.85848,0.76349,0.81141,0.50685,1.31751,0.80164,1.19819,0.000257595,0.000257595,0.000257595
64,5851.34,1.15816,0.76619,1.10478,0.86883,0.75398,0.81887,0.50818,1.2875,0.78914,1.18406,0.000250992,0.000250992,0.000250992
65,5941.94,1.14913,0.76206,1.09848,0.85015,0.76528,0.81702,0.50626,1.31357,0.78536,1.19513,0.000244389,0.000244389,0.000244389
66,6032.5,1.13934,0.75518,1.09746,0.82886,0.78568,0.81997,0.5044,1.31126,0.78634,1.19634,0.000237785,0.000237785,0.000237785
